InputID,Traveller_ID,Location_Name,Rating
30592,582,"Hikkaduwa Beach",5
30593,583,"Hikkaduwa Beach",5
30594,584,"Hikkaduwa Beach",4
30595,585,"Hikkaduwa Beach",5
30596,586,"Hikkaduwa Beach",5
30597,587,"Hikkaduwa Beach",5
30598,588,"Hikkaduwa Beach",5
30599,589,"Hikkaduwa Beach",4
30600,590,"Hikkaduwa Beach",3
30601,591,"Hikkaduwa Beach",4
30602,592,"Hikkaduwa Beach",3
30603,593,"Hikkaduwa Beach",4
30604,594,"Hikkaduwa Beach",1
30605,595,"Hikkaduwa Beach",3
30606,596,"Hikkaduwa Beach",4
30607,597,"Hikkaduwa Beach",4
30608,598,"Hikkaduwa Beach",5
30609,599,"Hikkaduwa Beach",4
30610,600,"Hikkaduwa Beach",5
30611,601,"Hikkaduwa Beach",5
30612,602,"Hikkaduwa Beach",5
30613,603,"Hikkaduwa Beach",5
30614,604,"Hikkaduwa Beach",5
30615,605,"Hikkaduwa Beach",5
30616,606,"Hikkaduwa Beach",4
30617,607,"Hikkaduwa Beach",4
30618,608,"Hikkaduwa Beach",3
30619,609,"Hikkaduwa Beach",4
30620,610,"Hikkaduwa Beach",4
30621,611,"Hikkaduwa Beach",4
30622,612,"Hikkaduwa Beach",5
30623,613,"Hikkaduwa Beach",3
30624,614,"Hikkaduwa Beach",5
30625,615,"Hikkaduwa Beach",4
30626,275,"Hikkaduwa Beach",4
30627,616,"Hikkaduwa Beach",5
30628,617,"Hikkaduwa Beach",5
30629,618,"Hikkaduwa Beach",3
30630,619,"Hikkaduwa Beach",4
30631,620,"Hikkaduwa Beach",3
30632,621,"Hikkaduwa Beach",4
30633,622,"Jungle Beach",5
30634,623,"Jungle Beach",4
30635,624,"Jungle Beach",3
30636,625,"Jungle Beach",3
30637,626,"Jungle Beach",3
30638,627,"Jungle Beach",2
30639,628,"Jungle Beach",3
30640,629,"Jungle Beach",4
30641,630,"Jungle Beach",5
30642,631,"Jungle Beach",5
30643,632,"Jungle Beach",2
30644,633,"Jungle Beach",4
30645,634,"Jungle Beach",4
30646,635,"Jungle Beach",4
30647,636,"Jungle Beach",5
30648,637,"Jungle Beach",2
30649,638,"Jungle Beach",1
30650,639,"Jungle Beach",5
30651,640,"Jungle Beach",1
30652,641,"Jungle Beach",4
30653,642,"Jungle Beach",4
30654,643,"Jungle Beach",4
30655,644,"Jungle Beach",5
30656,645,"Jungle Beach",2
30657,646,"Jungle Beach",1
30658,647,"Jungle Beach",3
30659,648,"Jungle Beach",5
30660,649,"Jungle Beach",1
30661,650,"Jungle Beach",3
30662,651,"Jungle Beach",3
30663,652,"Jungle Beach",2
30664,443,"Jungle Beach",5
30665,653,"Jungle Beach",3
30666,423,"Jungle Beach",4
30667,654,"Jungle Beach",4
30668,655,"Jungle Beach",5
30669,656,"Jungle Beach",4
30670,657,"Jungle Beach",5
30671,658,"Jungle Beach",5
30672,659,"Jungle Beach",2
30673,660,"Jungle Beach",4
30674,661,"Jungle Beach",5
30675,662,"Jungle Beach",3
30676,663,"Jungle Beach",2
30677,664,"Jungle Beach",2
30678,665,"Jungle Beach",3
30679,666,"Jungle Beach",2
30680,667,"Jungle Beach",4
30681,668,"Jungle Beach",5
30682,669,"Jungle Beach",4
30683,670,"Jungle Beach",4
30684,671,"Jungle Beach",2
30685,672,"Jungle Beach",4
30686,673,"Jungle Beach",3
30687,674,"Jungle Beach",5
30688,675,"Jungle Beach",5
30689,676,"Jungle Beach",4
30690,677,"Jungle Beach",5
30691,678,"Jungle Beach",3
30692,679,"Jungle Beach",4
30693,680,"Jungle Beach",2
30694,681,"Jungle Beach",4
30695,682,"Jungle Beach",5
30696,683,"Jungle Beach",4
30697,684,"Jungle Beach",1
30698,685,"Jungle Beach",4
30699,686,"Jungle Beach",3
30700,687,"Jungle Beach",5
30701,688,"Jungle Beach",4
30702,689,"Jungle Beach",4
30703,690,"Jungle Beach",5
30704,691,"Jungle Beach",5
30705,692,"Jungle Beach",2
30706,693,"Jungle Beach",4
30707,694,"Jungle Beach",3
30708,695,"Jungle Beach",4
30709,696,"Jungle Beach",5
30710,697,"Jungle Beach",4
30711,698,"Jungle Beach",5
30712,699,"Jungle Beach",4
30713,700,"Jungle Beach",4
30714,701,"Jungle Beach",4
30715,702,"Jungle Beach",5
30716,481,"Jungle Beach",2
30717,703,"Jungle Beach",4
30718,704,"Jungle Beach",3
