InputID,Traveller_ID,Photography,Travel_Year,Travel_month,month,rating
51786,8680,"No photography",2017,10,October,5
51787,8681,"No photography",2017,10,October,5
51788,8682,photography,2017,10,October,4
51789,4085,"No photography",2017,9,September,5
51790,8683,"No photography",2017,9,September,5
51791,5020,"No photography",2017,9,September,3
51792,8684,"No photography",2017,9,September,5
51793,8685,"No photography",2017,8,August,3
51794,8686,"No photography",2017,7,July,2
51795,7425,"No photography",2017,7,July,5
51796,4986,"No photography",2018,11,November,3
51797,8687,"No photography",2018,10,October,5
51798,8688,"No photography",2018,10,October,5
51799,8689,"No photography",2018,10,October,5
51800,8690,"No photography",2018,10,October,5
51801,8691,"No photography",2018,9,September,4
51802,8692,"No photography",2018,10,October,5
51803,7507,"No photography",2018,9,September,4
51804,8693,"No photography",2018,8,August,5
51805,8694,"No photography",2018,9,September,5
51806,8695,"No photography",2017,4,April,2
51807,8696,"No photography",2017,4,April,3
51808,8697,"No photography",2016,8,August,5
51809,6003,photography,2017,3,March,5
51810,8698,"No photography",2017,3,March,1
51811,3790,"No photography",2017,2,February,5
51812,1060,"No photography",2016,10,October,4
51813,8699,"No photography",2017,2,February,1
51814,8700,"No photography",2017,3,March,5
51815,8701,"No photography",2017,2,February,2
51816,8702,"No photography",2017,3,March,1
51817,8703,"No photography",2017,2,February,4
51818,8704,"No photography",2017,2,February,3
51819,8705,"No photography",2017,2,February,4
51820,8706,"No photography",2017,2,February,5
51821,8707,"No photography",2017,2,February,3
51822,8708,"No photography",2017,1,January,3
51823,1010,"No photography",2017,1,January,4
51824,5071,photography,2016,12,December,4
51825,8550,"No photography",2016,12,December,5
51826,1046,"No photography",2017,1,January,4
51827,5324,"No photography",2016,12,December,1
51828,69,"No photography",2016,11,November,4
51829,7555,"No photography",2017,7,July,5
51830,8709,photography,2018,4,April,4
51831,2461,"No photography",2018,6,June,3
51832,8710,"No photography",2018,5,May,5
51833,8711,"No photography",2018,4,April,5
51834,1023,"No photography",2018,5,May,5
51835,8712,"No photography",2018,5,May,3
51836,4107,"No photography",2018,5,May,5
51837,4320,"No photography",2018,4,April,5
51838,8713,"No photography",2018,3,March,5
51839,5674,"No photography",2018,4,April,4
51840,8714,"No photography",2016,10,October,4
51841,6339,photography,2016,10,October,5
51842,8715,"No photography",2016,10,October,5
51843,8716,"No photography",2016,9,September,5
51844,1756,"No photography",2016,10,October,5
51845,8717,"No photography",2016,8,August,5
51846,8718,"No photography",2016,8,August,5
51847,8719,"No photography",2016,8,August,4
51848,1759,"No photography",2016,9,September,5
51849,8720,"No photography",2016,7,July,3
51850,2501,"No photography",2016,8,August,4
51851,2501,"No photography",2016,8,August,3
51852,8721,"No photography",2015,12,December,5
51853,3308,"No photography",2015,10,October,2
51854,8722,"No photography",2016,8,August,3
51855,2502,"No photography",2016,8,August,3
51856,8723,photography,2016,8,August,5
51857,5316,"No photography",2016,8,August,4
51858,8724,"No photography",2016,8,August,4
51859,4560,"No photography",2015,9,September,5
